duration,shap_duration,credit_amount,shap_credit_amount,installment_rate,shap_installment_rate,present_residence,shap_present_residence,age,shap_age,number_credits,shap_number_credits,people_liable,shap_people_liable,foreign_worker,shap_foreign_worker,checking_status,shap_checking_status,credit_history,shap_credit_history,purpose,shap_purpose,savings_status,shap_savings_status,employment,shap_employment,personal_status,shap_personal_status,other_parties,shap_other_parties,property_magnitude,shap_property_magnitude,other_payment_plans,shap_other_payment_plans,housing,shap_housing,job,shap_job,own_telephone,shap_own_telephone,label,pred_proba,pred_label
24,0.023841994,4526,0.0062209778,3,-0.016312173,2,-0.02828006,74,-0.049868423,1,-0.00024610385,1,-0.0019208295,1,0.008137535,1,-0.021397253,1,0.016853571,10,-0.042954408,2,-0.056731805,3,-0.025416076,5,-0.094268575,1,-0.0066347467,4,-0.07957232,3,0.007494337,3,-0.016291209,4,-0.007872899,2,-0.027346931,0,0.6925866,1
30,-0.033531677,2150,-0.0026309018,4,0.03267985,2,0.031775594,24,0.006603201,1,-0.00018709013,1,0.00018690713,1,-0.00019104965,3,-0.07934923,3,0.0759492,1,-0.082285576,2,0.08521001,3,0.041356917,2,0.013015192,3,0.024662726,1,-0.045857675,1,-0.097120866,3,0.015133973,3,-0.008856191,1,0.019468552,1,0.49479344,0
24,0.021405334,1358,-0.00338348,4,-0.026967332,3,-0.05643762,40,-0.024495326,1,0.0017674714,1,0.0008262568,1,-0.000696145,2,-0.068350434,4,0.0178857,0,0.09074192,1,0.03970588,5,-0.055385735,5,-0.11092499,1,-0.0002854052,2,0.029244866,2,-0.08106702,3,-0.013144939,4,-0.010651733,2,-0.037833873,0,0.6371936,1
10,-0.007719739,1418,-0.0011802483,3,0.020541605,2,0.030783378,35,0.01962315,1,0.0010092519,1,-0.00036783423,2,-0.07635475,1,0.011593251,3,0.0730339,1,-0.08291833,3,-0.033361305,3,0.038723376,5,0.11699303,1,-0.0011577248,4,0.08472182,3,0.005472529,2,-0.038631767,2,-0.008064733,1,0.018135048,1,0.5814814,1
15,-0.014635982,2326,-0.002362351,2,0.010747828,4,0.0945497,27,0.010915731,1,4.1563064e-05,1,0.00024440698,1,-0.000366237,3,-0.078678176,1,0.006996773,10,0.042291813,4,-0.041146763,3,0.040578358,5,0.1177127,1,-0.000984495,2,-0.027240256,1,-0.09596471,3,0.0156859,3,-0.008581154,1,0.020477043,1,0.54182035,1
24,0.024768682,3878,0.004271824,4,-0.032059845,2,-0.03082649,37,-0.022662038,1,-0.00061433343,1,-0.00042361952,1,-1.1794502e-05,3,0.077873774,1,-0.00582572,1,0.080617234,3,0.039059076,2,0.056777887,1,-0.0015456948,1,0.0002760077,2,0.025208188,3,-0.0046625063,3,-0.014807394,3,0.008468708,2,-0.03939297,0,0.41535547,0
30,-0.033187553,4221,-0.005457744,2,0.010795876,1,5.1346753e-05,28,0.011938,2,0.0051070973,1,4.3796375e-05,1,0.00020434335,3,-0.078787565,2,0.017042218,10,0.044436052,2,0.08511394,3,0.04166232,2,0.0125217885,1,-0.00063883397,2,-0.028049817,3,0.005963637,3,0.015745468,3,-0.009419512,1,0.020103268,1,0.5541582,1
9,-0.0051048193,1422,-0.0010577366,3,0.019390393,2,0.029100873,27,0.010498293,1,-0.0009132996,1,0.00053894427,1,-0.003675058,2,0.06920623,3,0.0650339,1,-0.07674331,2,0.07726678,2,-0.04789486,5,0.1055297,1,-0.0039446927,1,-0.03629088,3,0.00858045,1,0.040498033,4,0.00910232,2,0.03772135,1,0.6412504,1
10,-0.007779482,1546,-0.0026005693,3,0.018006599,2,0.028318785,31,0.013313727,1,0.0005093999,2,-0.04695307,2,-0.07080054,1,0.009317395,3,0.07469393,1,-0.073549196,2,0.07665648,3,0.03852161,5,0.10646635,1,0.0018265247,4,0.07639788,3,0.00950918,3,0.011971513,2,-0.009074889,1,0.0147579685,1,0.6285798,1
18,-0.016233362,3244,-0.0038149655,1,-0.0003384184,4,0.090177864,33,0.017223313,2,0.004656993,1,-0.0011284351,1,-0.00068768277,3,-0.0708396,2,0.015898118,3,0.11835079,2,0.08381261,3,0.03765961,2,0.008023547,1,-0.0036201412,2,-0.026643448,1,-0.09393446,3,0.016366042,3,-0.008285219,2,0.04007374,1,0.59881824,1
42,-0.04742242,4370,-0.0062580556,3,0.020802248,2,0.030908853,26,0.00863833,2,0.005384447,2,-0.055567767,1,0.00038963556,2,0.0763217,0,0.04512489,4,-0.0381015,2,0.08277068,4,0.024877315,5,0.115962274,1,-6.612763e-05,3,-0.083465375,1,-0.09385411,3,0.015634399,3,-0.0076325266,2,0.040693022,1,0.5639945,1
30,-0.032766312,7596,-0.00883329,1,-0.000655964,4,0.09209729,63,0.055985354,2,0.0054014456,1,-3.494695e-05,1,-0.0008252673,1,0.0095341215,1,0.0051273187,2,-0.12170519,1,-0.03833689,5,0.06190055,5,0.11581642,1,0.0013172836,2,-0.02484414,3,0.0061814147,3,0.014724756,3,-0.010161075,1,0.018469518,1,0.5705008,1
24,-0.0206448,2924,-0.0041909367,3,0.01869206,4,0.08412205,63,0.04899731,1,0.0008900196,2,-0.050856285,1,-0.0013087336,2,0.073229805,3,0.06593286,2,-0.11220303,2,0.078263335,3,0.039516542,5,0.10416366,3,0.0268508,1,-0.038645472,1,-0.08517638,3,0.0132435765,3,-0.012536034,2,0.037465822,1,0.6268491,1
36,-0.040225204,8947,-0.010373513,3,0.020364407,2,0.03023279,31,0.0153765995,1,0.0008742912,2,-0.056027815,1,-0.0003854977,1,0.00968327,0,0.046115458,2,-0.12676612,1,-0.039725445,4,0.026612561,5,0.11732231,1,-8.170423e-05,2,-0.02676566,2,0.08948607,3,0.01575624,4,0.008146833,2,0.04046515,1,0.5565767,1
12,-0.013044898,795,-0.0027130842,4,0.024563324,4,0.07915024,53,0.034738872,1,0.00068719126,1,-0.0029191002,1,0.00084127486,2,0.072259165,3,0.056867264,7,0.10693718,2,0.07294116,2,-0.049000114,2,0.0037436765,1,-0.0020857803,3,-0.06267864,3,-0.0013437164,3,0.01655815,3,-0.009701471,1,0.018571706,1,0.66281295,1
6,-0.004093572,454,-0.00086402893,3,0.018548235,1,0.0023264587,22,0.004332863,1,0.00040339679,1,-0.0015731454,1,0.0007209182,3,-0.07917576,3,0.07022041,6,0.07745049,2,0.077350274,2,-0.054491274,3,-0.23572908,1,-0.00011117663,3,-0.080984786,3,0.0077737793,3,0.013461808,2,-0.0044162218,1,0.016945448,1,0.41175827,0
33,0.03613175,7253,0.009698283,3,-0.021664936,2,-0.030145062,35,-0.021100668,2,-0.0059746765,1,-0.00056062127,1,-0.0006672293,1,-0.011435626,1,-0.0076390402,2,0.12028931,2,-0.079706766,4,-0.023983998,5,-0.11483059,1,0.0017496701,2,0.028976884,3,-0.005479073,3,-0.016544923,4,-0.008258404,2,-0.03929221,0,0.5909723,1
21,-0.019037766,2745,-0.0031395964,3,0.020602707,2,0.026518697,32,0.014304577,2,0.005882036,1,-0.002077003,1,-0.00013335235,3,-0.074216604,1,0.0075198077,3,0.10619605,5,0.059426688,4,0.023329,5,0.10458657,1,0.0040681134,2,-0.025396414,3,0.00096076727,3,0.01244728,3,-0.006612108,2,0.042759962,1,0.64177775,1
6,-0.0031616718,1338,0.0009516664,1,-0.0027544945,4,0.07725166,62,0.038533907,1,-0.005077676,1,-0.0017580839,1,0.0016621742,1,0.01799208,3,0.07148706,5,0.058265593,4,-0.04230623,3,0.03972005,1,0.005652203,1,-0.005510552,4,0.0694235,3,0.0045423284,3,0.02333885,3,-0.0058023976,1,0.011153545,1,0.66692656,1
24,-0.020606734,2835,-0.005721569,3,0.016439846,4,0.07711932,53,0.039139014,1,0.0027833348,1,0.0008058492,1,0.0013759932,1,-0.0025891731,3,0.06387468,3,0.08545235,4,-0.026737617,5,0.052219227,5,0.10387934,1,0.007191904,3,-0.06680516,3,0.0032604323,3,0.0052593285,3,-0.0038943887,1,0.023172986,1,0.66782147,1
12,-0.008693455,3017,-0.0021601282,3,0.020070389,1,-0.0017571114,34,0.017754257,1,-0.0012378609,1,-0.0013216892,1,-0.00024417415,3,-0.0709607,3,0.07104475,3,0.111650035,2,0.075561784,2,-0.054038435,2,0.011402988,1,-0.003119721,4,0.08483571,3,0.0075178468,2,-0.034836,4,0.0085356,1,0.017766794,1,0.618374,1
12,-0.010089532,926,-0.0007142015,1,0.0008689314,2,0.031066172,38,0.024747543,1,-0.00013893843,1,0.0004084818,1,-7.1287155e-05,1,0.010991899,1,0.006279708,1,-0.07902213,2,0.08447558,1,0.025937377,2,0.011800328,1,-0.00013892818,3,-0.08425932,3,0.0059677847,3,0.016108267,1,0.059317105,1,0.01971198,1,0.55813676,1
6,0.0037677693,1238,0.00040097907,4,-0.028743057,4,-0.08248532,36,-0.021157045,1,0.0013381839,2,0.048978917,1,-0.0002716342,1,-0.009402067,3,-0.07064101,9,-0.05207374,1,0.03659814,1,-0.016831104,5,-0.10614868,1,0.0040154075,3,0.07502892,3,-0.0027298825,3,-0.012078782,4,-0.012213907,2,-0.03829149,0,0.6348286,1
18,-0.018668475,1582,-0.0009856522,4,0.026000628,4,0.0787909,46,0.03175974,2,0.0077315606,1,-0.0030744467,1,-0.0007643793,1,0.01243655,1,-0.0020514838,4,-0.044898298,5,0.058777057,5,0.06030969,5,0.104915954,1,0.005261396,2,-0.019368818,3,0.006846316,3,0.013986595,3,-0.004568046,1,0.016191391,1,0.65573984,1
6,0.0016848074,448,0.0018763356,4,-0.031753138,4,-0.07673168,23,-0.0037686392,1,-0.000593395,1,0.0006952062,1,0.0019214638,2,-0.068307966,3,-0.07016969,7,-0.08734194,2,-0.068738036,2,0.053947713,2,-0.0024417583,1,0.0013509914,3,0.07490649,3,-0.01191326,3,-0.021483848,3,-0.0019754332,1,-0.017541325,0,0.65472275,1
24,-0.023965467,999,-0.0003713332,4,0.031227734,2,0.030532734,25,0.008521695,2,0.0055150064,1,-0.0002058465,1,-0.0005139988,1,0.01067183,3,0.07077576,4,-0.03809666,1,-0.036923483,5,0.059572287,5,0.112210974,1,-0.0012938287,2,-0.025170853,3,0.0056414874,3,0.0136467,3,-0.0065980637,1,0.018211603,1,0.6115631,1
12,-0.00971032,1567,-0.0016506771,1,-0.00016812561,1,-4.0198676e-05,22,0.0039915224,1,0.00024776533,1,-0.00036599487,1,4.207343e-05,3,-0.07940177,3,0.07667747,4,-0.039490875,2,0.08509341,3,0.041893054,2,0.012658173,1,-0.00079325493,2,-0.027263835,3,0.0056433845,3,0.016859995,3,-0.009594926,2,0.040412508,1,0.55408466,1
6,-0.002615741,1554,-0.0018902197,1,3.42289e-05,2,0.031724878,24,0.006573243,2,0.0054594446,1,-4.035412e-05,1,-2.0448118e-05,1,0.010912599,1,0.006832853,4,-0.03962629,2,0.08544214,4,0.025378644,2,0.012073367,1,-0.00046246592,2,-0.027502427,3,0.0060909474,2,-0.040559877,3,-0.009001828,2,0.041373394,1,0.55168015,1
24,-0.021576025,5511,0.0017834269,4,0.027855597,1,-0.0012905784,25,0.0071161054,1,0.0006727502,1,-0.0017054789,1,0.0039741574,1,0.012709111,3,0.06623115,3,0.089601696,3,-0.033161383,3,0.035620503,5,0.097823046,1,-0.008620709,2,-0.02867128,2,0.080378234,3,0.016880114,3,-0.0035344874,1,0.012852263,1,0.6675193,1
45,-0.05242732,4576,-0.0056963284,3,0.021538297,4,0.09383505,27,0.010583779,1,0.00030148402,1,0.0005248077,1,-0.0004120092,3,-0.079262584,1,0.006811286,2,-0.12763087,3,-0.03967414,1,0.026583273,5,0.115830354,1,-0.0005633179,2,-0.02696068,3,0.00586149,3,0.016056703,3,-0.009029924,1,0.019887367,1,0.48486033,0
12,-0.0097022345,2002,-0.0032897796,3,0.021143936,4,0.09045403,30,0.012398468,1,-0.0011501685,2,-0.052468263,1,-0.0016306564,3,-0.07473881,3,0.07607924,1,-0.07448436,2,0.079824954,4,0.024098927,5,0.114713326,1,-0.0021605566,3,-0.07841543,3,0.006811996,2,-0.041174054,3,-0.0037970152,2,0.035168678,1,0.5553904,1
12,0.009682827,697,-0.00027539395,4,-0.03056553,2,-0.031013813,46,-0.03512889,2,-0.00470601,1,-0.0013190359,1,-0.0011081081,2,-0.07601162,4,0.01925466,1,0.07908067,2,-0.08341064,2,0.057038207,5,-0.11573291,1,0.00093873637,2,0.025411434,1,0.09289162,3,-0.015880402,3,0.009580864,2,-0.03912008,0,0.5665765,1
24,-0.023974357,2463,-0.005033953,4,0.02876577,3,0.059122525,27,0.0092439605,2,0.0045321584,1,-0.0012072222,1,-0.0008689491,1,0.010496099,1,0.013201765,1,-0.07747758,3,-0.032209925,4,0.020521056,3,-0.22487247,1,-0.0015434904,3,-0.08054089,3,0.006291693,3,0.015156775,3,-0.01181949,2,0.037397854,1,0.3722612,0
36,-0.04086644,11054,-0.014564187,4,0.03208813,2,0.031706396,30,0.014083827,1,0.0005640015,1,1.754053e-05,1,-0.00017106533,1,0.011553714,1,0.005761448,2,-0.12654577,1,-0.04224903,3,0.041564018,5,0.117325366,1,0.00040478678,2,-0.027572274,3,0.0062626502,3,0.016101282,4,0.009854381,2,0.04068889,1,0.5347253,1
12,-0.010364909,719,-0.0023835227,4,0.029970333,4,0.07179112,41,0.01908392,1,-0.0029059907,2,-0.04532345,1,-0.00016381592,1,0.0064698234,3,0.06352992,7,0.10322742,2,0.06305433,5,0.042167444,5,0.091949016,1,0.0062604286,2,-0.019825421,1,-0.07642133,3,0.009075981,2,-0.0022331728,1,0.018482352,1,0.6721646,1
12,-0.010844984,3527,-0.0044757575,2,0.011291917,3,0.063067675,45,0.033729512,1,-0.00012986735,2,-0.056972705,1,0.0005617626,1,0.011470484,3,0.07588579,1,-0.08022492,1,-0.041948874,2,-0.057010286,5,0.116492964,1,-0.00085150637,3,-0.08315442,3,0.005707857,3,0.015808942,4,0.009104542,2,0.04160647,1,0.5213217,1
36,-0.038703367,9566,-0.011127723,2,0.01066847,2,0.030532004,31,0.015814085,2,0.005517615,1,-0.00026863348,1,-0.0012483445,1,0.010809884,1,0.0065226443,4,-0.03873025,2,0.08224551,3,0.040405698,2,0.01177332,1,-0.002063684,2,-0.026276728,2,0.088282496,3,0.016379433,3,-0.008522192,1,0.018986918,1,0.600873,1
36,-0.031778466,8065,-0.0064318776,3,0.019230556,2,0.025134709,25,0.010500213,2,0.002489632,1,0.0007231408,1,0.0013332013,2,0.069865845,1,-0.00067516346,7,0.083049916,2,0.07051321,3,0.0334374,2,0.01189096,1,-0.0013074623,1,-0.034998965,3,0.007413199,3,0.01637847,4,0.008371997,2,0.03750179,1,0.6530323,1
15,-0.013781967,3186,-0.0042648213,2,0.011160856,3,0.0628427,20,0.0013806075,1,4.8710965e-05,1,-0.00023376569,1,-0.000109530985,1,0.0113698505,3,0.0761202,1,-0.079948336,5,0.06551071,4,0.024847962,2,0.012188768,1,-0.00097267097,2,-0.026136948,3,0.0058901645,2,-0.04054866,3,-0.00905599,1,0.019171273,1,0.554302,1
12,-0.009451614,1101,-0.0008134097,3,0.019408349,2,0.030336358,27,0.011515833,2,0.006292229,1,-0.0005578995,1,0.0004585348,1,0.012609141,3,0.07647482,1,-0.07763763,2,0.08078874,3,0.03861366,3,-0.23501652,1,-0.0015193913,4,0.08311793,3,0.005212427,3,0.014307269,3,-0.0094497865,2,0.037489895,1,0.53779495,1
10,-0.0058375034,2315,0.0043153204,3,0.018786231,4,0.07480769,52,0.022214886,1,5.624816e-05,1,-0.012370663,1,-0.0023209155,2,0.046937883,3,0.05727658,4,-0.021226406,2,0.05785494,5,0.06621581,5,0.072469845,1,0.010486291,4,0.0600685,3,-0.026073536,3,-0.008512185,2,0.0045740893,1,0.02064317,1,0.7042968,1
24,0.023613058,11938,0.017232105,2,-0.009267248,3,-0.054144766,39,-0.027043633,2,-0.0025116073,2,0.05340449,1,0.0014319606,3,0.06333805,1,-0.012624312,0,0.09441355,2,-0.07729053,3,-0.036890842,5,-0.103451595,2,-0.18730722,2,0.02414344,3,-0.0020489316,3,-0.013097697,4,-0.006008096,2,-0.036475558,0,0.6383666,1
6,-0.0015536149,590,-0.00012728758,3,0.017307214,3,0.05994603,26,0.007978542,1,0.00081890076,1,0.0010090619,2,-0.07708602,3,-0.07183031,3,0.06973095,4,-0.03957036,2,0.07626513,2,-0.061893947,3,-0.24196279,1,0.0019352604,4,0.08514395,3,0.010961788,3,0.014509684,2,-0.006123851,1,0.016539741,1,0.4282744,0
48,0.056245953,3979,0.004813764,4,-0.032586213,1,-0.00024234597,41,-0.028467502,2,-0.0060867406,2,0.056991838,1,3.734976e-05,3,0.07985869,3,-0.07656706,4,0.039522678,1,0.041385047,4,-0.025273643,5,-0.11869705,1,0.0007553231,2,0.027901527,3,-0.006758862,3,-0.015485301,3,0.009669805,2,-0.041337892,0,0.5139341,1
24,-0.01733975,3749,-0.004922159,2,0.010483146,4,0.07424681,26,0.009987811,1,0.00043916889,1,-0.0023739226,1,-0.0010003503,4,0.07822622,3,0.07155859,3,0.09540008,2,0.063034825,2,-0.05411931,2,0.013803259,1,0.0018618051,2,-0.02668456,3,0.008452328,3,0.013528314,3,-0.0060311025,1,0.017824156,1,0.66370755,1
12,-0.010125239,3573,-0.004434756,1,-5.0764298e-05,1,0.00050959736,23,0.0054082205,1,-0.00015479978,1,0.0001504235,1,6.5536704e-05,3,-0.07901493,1,0.0067042224,4,-0.039851937,2,0.084380046,3,0.041328542,2,0.012193374,1,-0.000417348,4,0.08726729,3,0.0063281376,3,0.016064797,2,-0.009707771,1,0.019702945,1,0.56458735,1
15,0.014130278,5045,0.0061203297,1,-0.00031099073,4,-0.09347883,59,-0.051647436,1,6.132666e-05,1,-0.00018027425,1,-0.00051629124,1,-0.010184349,1,-0.0074636843,1,0.07953592,1,0.039438527,5,-0.06258242,2,-0.010975872,1,-0.00047032628,2,0.026431058,3,-0.00617241,3,-0.01661163,3,0.010287218,2,-0.040249474,0,0.5589222,1
21,-0.018501502,3414,-0.0032999404,2,0.008856803,1,-2.134405e-05,26,0.009281129,2,0.0043413676,1,-0.0016596951,1,0.00014499575,2,0.0692655,0,0.034996036,7,0.09152272,2,0.08534043,2,-0.048736293,5,0.105440795,1,0.00034951232,3,-0.07697941,3,0.0052838163,3,0.015565232,3,-0.011624049,1,0.021359578,1,0.63852346,1
12,-0.0086146165,2122,-0.0026300978,3,0.01814257,2,0.029519785,39,0.023445288,2,0.0026339157,2,-0.051393032,2,-0.073897764,2,0.07323083,1,0.0034500463,1,-0.0726275,2,0.07966605,3,0.0398545,5,0.10969825,1,-0.0010323658,4,0.08136479,3,0.0072424365,2,-0.03741806,2,-0.00858354,1,0.02166814,1,0.61172044,1
28,0.02484322,4006,0.003915172,3,-0.017857388,2,-0.026930012,45,-0.02699773,1,-0.00013325457,1,0.00051214173,1,-0.0027810684,2,-0.06893996,3,-0.061946582,1,0.0728476,2,-0.07745364,3,-0.039610617,5,-0.098502025,1,0.0027223653,2,0.020894254,3,-0.011636592,3,-0.012687684,2,0.006121313,1,-0.012606467,0,0.65465486,1
12,0.00861134,701,0.00052537955,4,-0.02731026,2,-0.03044333,40,-0.026805261,1,-0.0011034999,1,0.00073711853,1,-0.0007921457,2,-0.07166758,3,-0.07457208,4,0.04036374,2,-0.08293447,3,-0.04136762,3,0.22078128,1,0.002576669,4,-0.08393998,3,-0.0049596373,3,-0.013069598,2,0.010906948,1,-0.013598169,0,0.5898229,1
9,-0.007040412,918,-0.0012536589,4,0.030831117,1,-0.0015624613,30,0.013547447,1,-0.000611946,1,-0.00037005544,1,0.00043451972,3,-0.07043235,3,0.0736282,3,0.11103007,2,0.07770664,3,0.04005286,2,0.012390178,1,-0.0006937543,3,-0.07828146,3,0.007245536,3,0.01464886,3,-0.007323549,1,0.016850095,1,0.6103306,1
12,-0.010190725,2762,-0.003604094,1,0.00015847571,2,0.031435866,25,0.007864336,1,0.0003292514,1,0.00021675043,1,-2.8555281e-05,3,-0.08075441,3,0.07659637,3,0.11879557,1,-0.04118589,5,0.063911885,2,0.011881022,1,-0.0007631914,3,-0.085145384,1,-0.09734903,3,0.017156089,3,-0.008378763,2,0.040024914,1,0.51725584,1
6,-0.006585469,1872,-0.0028916374,4,0.022871438,4,0.057338618,36,0.0145858545,3,0.019708829,1,-0.0020716786,1,-0.007042961,2,0.056575987,1,0.022425015,3,0.05830726,2,0.09138468,1,-0.012631189,5,0.0974289,1,-0.0143002635,1,-0.041642405,3,-9.8355114e-05,1,0.029293945,4,0.015270424,2,0.040701665,1,0.7035722,1
24,-0.019718293,2892,-0.0045027025,3,0.014205471,4,0.06486627,51,0.030277561,1,0.009108513,1,-0.00088385213,1,0.0056221327,4,0.06497572,3,0.061955713,3,0.061303567,2,0.06966473,5,0.053537756,1,-0.0007607471,1,-0.0067938883,1,-0.031038037,3,0.010619009,1,0.03421271,3,-0.013386741,1,0.01513361,1,0.69506526,1
18,0.017911194,1473,0.00041866768,3,-0.02206766,4,-0.092487104,39,-0.023952177,1,-0.00026251748,1,-0.00043482333,1,-0.00046803057,1,-0.012362972,3,-0.07280509,4,0.03909058,2,-0.08237355,2,0.055945598,3,0.23550296,1,0.00034400076,4,-0.08659366,3,-0.0039483365,3,-0.013875175,3,0.011186598,2,-0.037563775,0,0.5410825,1
36,-0.039813694,7980,-0.010407625,4,0.031528413,4,0.09202689,27,0.010376845,2,0.0045706574,1,0.000210464,1,4.2526983e-05,1,0.00981326,0,0.044049725,10,0.04091386,1,-0.03967438,2,-0.056259237,5,0.11616502,1,0.0002542202,2,-0.024929237,3,0.006736473,2,-0.038192257,3,-0.0102245435,2,0.039821062,1,0.58446413,1
18,-0.017038317,1924,-0.001849601,4,0.031289846,3,0.060192153,27,0.009912714,1,-0.0009900723,1,-0.00012807362,1,-0.0002813395,3,-0.073743165,3,0.07266793,3,0.115928054,1,-0.036018297,2,-0.05667729,2,0.010775546,1,-0.0017261184,4,0.08370169,3,0.0061664884,2,-0.039513804,3,-0.0068908627,1,0.018540356,1,0.5831567,1
30,-0.026874136,10623,-0.010215856,3,0.020519357,4,0.082774214,38,0.018719159,3,0.007857285,2,-0.050793312,1,-0.0017493907,2,0.06348032,1,0.004824929,2,-0.11281093,2,0.07884419,5,0.04866707,5,0.11114298,1,-0.0010138843,1,-0.037581917,3,0.012223993,1,0.042208236,4,0.004290106,2,0.039835054,1,0.6401016,1
