age,capital_gain,capital_loss,hours_per_week,sex_Male,workclass_Private,marital_status_Non_Married,occupation_Other,relationship_Non_Husband,race_White,native_country_US,label,pred_proba,pred_label,shap_age,shap_capital_gain,shap_capital_loss,shap_hours_per_week,shap_sex_Male,shap_workclass_Private,shap_marital_status_Non_Married,shap_occupation_Other,shap_relationship_Non_Husband,shap_race_White,shap_native_country_US
43,0,0,40,1,1,0,0,0,1,1,1,0.64759225,1,0.07837295,-0.004960362,0.007952966,0.095603436,-0.1237555,-0.008344807,-0.0024154931,0.005095508,-0.012312263,-0.0052760914,0.010324854
49,0,0,40,1,0,0,0,0,1,1,1,0.4753734,0,0.11471266,0.013954429,-0.0083034355,0.10136607,-0.18343395,0.0033858903,-0.02187083,-0.012016473,0.0045133494,-0.00068731606,0.0163545
63,0,0,40,1,1,0,1,0,1,1,0,0.30048582,0,-0.06115058,-0.0015989367,-0.006618146,-0.04959658,0.10060116,0.005365614,-0.005154257,0.07573696,0.0033703302,0.0041406658,-0.017139217
31,0,0,40,0,1,1,0,1,1,1,0,0.269125,0,-0.0047085104,-0.0010695782,-0.0033970063,-0.008722767,-0.0006010047,0.0015055961,0.036650058,-0.0015812163,0.01620822,-0.0028066686,-0.001266247
36,0,0,40,1,1,1,1,1,1,1,0,0.2691591,0,-0.004803225,-0.0022338352,-0.005406146,-0.022330917,0.02022582,0.0029960861,0.07827408,0.027148912,0.030455241,0.018773185,0.007378743
34,15024,0,35,1,0,0,0,0,1,1,1,0.7267518,1,0.027770143,0.24544986,-0.014852591,0.068875164,-0.09647753,0.007851973,-0.0020628422,0.0006905496,-0.0019335225,-0.011922367,0.012564309
46,0,2415,55,1,1,0,0,0,1,1,1,0.7300182,1,0.03362658,0.0134884715,0.12665132,0.05228191,-0.05021335,-0.005904071,-0.0075859353,0.005714763,0.00059016794,-0.013247225,0.0054505058
36,13550,0,40,1,0,1,0,1,0,1,1,0.28410968,0,0.022910494,0.18249992,-0.009520574,0.07478184,-0.11532299,0.0052566533,-0.35631475,0.020109724,-0.093594655,-0.0024836042,0.038400125
60,0,0,45,1,1,0,1,0,1,1,1,0.38674468,0,0.10886151,0.0066458266,-0.005821987,0.09506754,-0.15140434,-0.0039038258,0.008849331,-0.13565439,-0.008189737,-0.0083798,-0.0031931717
34,0,0,40,0,1,0,0,1,1,1,1,0.6647273,1,0.039010152,0.0070046335,-0.008397616,0.07673347,0.002076909,-0.008902002,0.0027055554,-0.0017273948,-0.09804092,-0.0038922504,0.009390689
37,0,0,45,1,1,0,0,0,1,1,0,0.67326057,1,-0.038513407,-0.0049136057,-0.004757751,-0.09187517,0.099023476,-0.002613362,0.0038043521,0.009153888,0.0028630048,0.013509408,-0.00970104
47,0,0,28,0,1,0,1,1,0,0,0,0.32478994,0,-0.063326985,0.019038852,0.0062967907,-0.060774956,-0.0025153398,0.010851783,0.014536587,0.08199281,0.1373833,-0.01584296,0.0073728077
19,0,0,16,0,1,1,1,1,1,1,0,0.26933742,0,-0.0013564148,0.015946632,0.013645886,-0.023375886,-0.0049654217,0.0037792383,0.10459877,0.045396846,0.04427202,-0.008456087,0.009585431
42,2885,0,40,1,0,0,1,0,0,1,0,0.49594176,0,-0.0803683,-0.08705503,0.010522379,-0.11379977,0.17755964,-0.0019000955,0.004163388,0.15878657,-0.0016971529,-0.011318302,0.0008383021
23,0,0,40,1,1,0,1,0,1,1,0,0.3591635,0,-0.011056306,0.006022496,-0.0047662575,-0.056385223,0.16455697,-0.007871363,0.020076249,0.109754145,0.0075252205,0.013952445,-0.035232104
43,0,0,40,1,1,0,0,0,1,0,0,0.488705,0,-0.09431902,-0.0054122508,0.0053198803,-0.09570554,0.19270384,0.011458574,0.0040278435,-0.010339454,-0.0068857037,0.0034177396,-0.010125568
33,0,0,50,1,1,0,1,0,1,1,0,0.33462936,0,-0.036239095,-0.0023093363,0.020240262,-0.095599554,0.13799605,0.02667006,-0.010021272,0.109329246,-0.008553349,0.013284567,-0.023877772
24,0,0,17,0,1,1,1,1,1,1,0,0.269384,0,-0.006701586,0.014532224,-0.010296389,0.0007127838,-0.0073322635,-0.009266908,0.102777645,0.041749746,0.04432014,0.027849404,-0.01578788
31,0,0,40,0,1,1,0,1,1,1,0,0.27680877,0,-0.015103819,0.022547208,-0.022237275,-0.031284984,-0.041086942,0.011994863,0.32481942,-0.024182852,0.07505551,0.022001881,-0.009484773
43,0,0,40,1,0,1,0,1,1,1,0,0.26957002,0,-0.00017721321,-0.006739882,-0.007585327,-0.013083774,0.038735073,0.00022237119,0.11262868,-0.020041494,0.044087015,0.009063813,-0.0025975457
31,0,0,12,0,1,1,0,1,1,1,0,0.26993987,0,-0.02816976,0.0029444888,-0.0091501,-0.007941585,-0.008962688,0.014260473,0.16313374,-0.0076659936,0.06545866,0.0059579266,-0.007897057
21,0,0,40,1,1,1,1,1,0,1,0,0.26903954,0,0.001262023,0.00627492,-0.001675583,-0.01935421,0.035959333,-0.003814024,0.067293175,0.018472996,0.039301634,-0.0042103427,-0.0033866907
46,0,0,43,0,1,1,0,1,1,1,0,0.27209347,0,-0.055118687,-0.0140789505,0.0019210661,-0.016729426,-0.024305828,0.016795235,0.17698666,0.009979779,0.04403362,0.022013681,-0.0078011374
54,0,0,32,0,1,1,1,1,1,1,0,0.26981828,0,-0.023460474,-0.014222018,-0.01615628,-0.025573187,-0.011065727,-0.004795201,0.12553832,0.046192862,0.040948715,-0.0019690744,0.005439689
47,0,0,50,1,0,0,0,0,1,1,1,0.7080977,1,0.037271168,0.00084557757,0.00095319375,0.06509203,-0.06328744,0.010444667,0.0030136406,-0.004084073,-0.0025378093,-0.0072102174,0.0072040856
35,0,0,48,1,1,0,0,0,1,1,0,0.44038185,0,-0.061215933,-0.0045595895,-0.012831589,-0.13852976,0.19612218,0.021986438,0.0009515751,0.004942242,0.0017994046,0.0015475824,-0.00992279
23,0,0,40,0,1,1,1,1,1,0,0,0.26959205,0,-0.01581871,-0.01621176,-0.005943588,-0.009822488,0.016606059,0.0017032225,0.13335681,0.0427536,0.030214923,-0.007833281,0.012122144
49,0,1902,40,0,1,0,1,1,1,1,1,0.6761095,1,0.075157605,-0.0034038015,0.19750428,0.08366309,0.021444947,-0.017365437,0.010218203,-0.109334655,-0.11971979,0.011416078,-0.0022255592
55,0,0,40,0,1,1,0,1,0,1,0,0.2728887,0,-0.038723033,0.026524836,0.009278297,-0.06493349,-0.01472281,-0.012775468,0.23005927,-0.0037825317,0.055596724,0.029318737,-0.0011750517
61,0,0,20,1,0,0,1,0,1,1,0,0.272038,0,-0.01654366,0.0012322399,0.001387325,-0.008220704,0.023165274,-0.0017512881,-0.0007928539,0.01702224,-0.0017743314,0.0012811653,-0.0023494842
66,0,0,40,0,1,1,1,1,1,0,0,0.268974,0,-0.014097958,0.0034144623,-0.00060867565,-0.008135011,-0.0021898623,-0.0004962599,0.015452616,0.008410056,0.00989573,0.00032237289,0.0008339761
71,0,0,40,0,1,1,0,1,1,1,0,0.27472246,0,-0.08490104,0.0064886715,0.013428688,-0.04391299,-0.0059952503,0.017742611,0.25144684,-0.007011816,0.07596632,-0.0115151685,-0.020960424
21,0,0,30,1,1,1,0,1,1,1,0,0.26934475,0,0.00677701,-0.007168918,0.0020400346,-0.012010204,0.030339837,-0.0035748717,0.10633219,0.0051590763,0.045419406,0.011616547,-0.023978693
22,0,0,35,0,1,1,1,1,1,1,0,0.26959127,0,-0.0064492375,-0.0023257865,0.019591404,-0.039297216,0.0069941534,0.020110594,0.14034478,0.043404687,0.06519437,-5.9179612e-05,-0.017390275
42,0,0,36,0,0,1,0,1,1,1,0,0.27603054,0,-0.01992841,0.021299811,0.012946058,-0.05502842,-0.03143276,0.015180113,0.29084086,0.001737033,0.05841319,0.0040252497,-0.01177981
45,0,0,50,1,1,0,1,0,1,1,1,0.6121851,1,0.06464212,-0.0017484017,0.018787358,0.10252213,-0.11947347,-0.005850341,0.0038301013,-0.10223939,-0.0058192946,-0.029106505,0.010130953
54,0,0,40,0,1,1,0,1,1,1,0,0.27511403,0,-0.051377192,0.011526134,-0.008024007,-0.088759415,0.0019205967,-0.0050844,0.26893887,0.036513895,0.06690241,-0.009100743,0.009663813
24,0,0,30,0,1,1,0,1,1,1,0,0.27084017,0,0.017184488,-0.0026340038,0.0021453272,-0.04174925,-0.021949017,0.007181548,0.1865977,-0.0043321094,0.05305719,-0.007613175,0.004385311
23,0,0,55,1,1,1,1,1,1,1,0,0.26907787,0,-0.017312957,-0.020903034,-0.0014147079,-0.031207565,0.058499943,0.0023592522,0.080232136,0.04033911,0.04239876,0.005454291,-0.003146789
53,4386,0,40,1,0,0,1,0,1,1,1,0.51514316,1,0.11149053,0.10793851,-0.007858545,0.10453058,-0.164961,-0.0027393475,0.022193342,-0.13343346,0.00025295652,-0.019521028,0.027800359
29,0,0,55,0,0,1,0,1,1,1,0,0.31133738,0,0.004036038,-0.03567935,-0.028887715,-0.062292345,0.0126080215,0.030755522,0.35140777,0.024310121,0.06716383,-0.026227236,0.004216615
22,0,0,40,0,1,1,1,1,1,1,0,0.26967144,0,-0.015062937,-0.009805564,-0.0025989227,-0.02953173,-0.002974039,0.031199686,0.12702745,0.027766606,0.060847744,-0.008874051,0.0035918786
31,0,0,43,1,1,0,0,0,1,1,0,0.30187014,0,-0.013583577,0.0011023688,-0.0019078017,-0.038811047,0.07448818,0.0024021673,0.009814531,-0.0037895627,-0.00049840007,-0.0006584367,-0.012510391
67,0,1844,70,1,1,0,1,0,1,1,0,0.68794113,1,-0.13315752,-0.020863917,-0.18462531,-0.16186234,0.13861409,0.0075442195,-0.0024407618,0.08933045,0.012103111,-0.0012036264,-0.027778585
25,0,0,80,1,1,0,1,0,1,1,0,0.4076891,0,-0.021202732,-0.004874587,-0.016145915,-0.17981553,0.16935754,0.008503766,0.003240088,0.13087861,-0.005608963,-0.0027516354,-0.019047836
44,0,0,40,1,1,0,1,0,1,1,1,0.5320411,1,0.06271915,0.011922352,0.0015427656,0.108821556,-0.138334,-0.015594147,0.0013617687,-0.12359789,-0.021590069,-0.017555825,0.005427856
39,0,0,45,0,1,0,1,1,1,1,1,0.37582615,0,0.068936735,0.011978692,-0.010608693,0.09364674,-0.0021930719,-0.01703162,-0.0223854,-0.12120689,-0.16270599,-0.00034042634,0.022776969
43,0,0,40,1,1,1,0,1,1,1,0,0.26951528,0,-0.02066198,0.0037713072,-0.005781123,-0.034385417,0.040778086,0.015779132,0.11022497,0.0054513467,0.03287042,-0.0038608748,0.009375675
59,0,0,40,1,1,0,0,0,1,1,0,0.52978283,1,-0.13499965,-0.010808032,-0.009364754,-0.10184714,0.18061735,0.022764008,0.0003059581,0.002285812,-0.008457962,-0.013840975,-0.012572702
33,0,0,40,1,0,1,0,1,0,1,0,0.2720647,0,0.0005982255,-0.046725754,-0.009390255,-0.042087186,0.038852878,0.014446466,0.2533593,0.024483291,0.071085215,0.012206991,-0.020178884
44,8614,0,35,0,0,1,0,1,1,1,1,0.40700486,0,0.05766561,0.17067526,0.019112755,0.036454644,-0.041547287,0.019766038,-0.40285048,0.0044676904,-0.13926324,-0.0072610453,0.006090626
39,0,2051,40,1,1,0,1,0,1,1,0,0.3914726,0,-0.05738996,0.0143092405,-0.18802506,-0.07235453,0.15961482,0.008205704,0.008148739,0.12343171,0.0044670794,-0.021656308,-0.023499448
24,0,0,33,1,1,0,1,0,1,1,0,0.4395193,0,-0.044022225,0.02639962,-0.0043189507,-0.09501782,0.16111353,0.0020290017,-0.033795178,0.15247867,0.00030204095,0.021118114,-0.01731877
33,0,0,60,1,1,0,0,0,1,1,1,0.52513605,1,0.058900915,0.002594024,-0.0038738027,0.1699465,-0.18251954,-0.022067752,-0.0062205344,0.006129544,-0.021382146,9.753555e-05,0.03620609
38,0,1741,40,1,0,1,0,1,0,0,0,0.28742316,0,0.0027462076,-0.019246886,-0.084580846,-0.070038415,0.088200204,-0.009297291,0.34782344,-0.009272173,0.07905509,-0.003228738,0.015081223
47,0,0,20,0,1,1,0,1,1,1,0,0.27081743,0,-0.050736308,0.0031034176,0.008114299,-0.004212091,0.018265992,-0.017749023,0.15195616,0.009880879,0.07326201,0.014965497,-0.004932975
25,0,0,40,0,1,0,0,1,1,1,0,0.6032351,1,-0.016840037,7.326156e-05,0.0063868277,-0.09194333,-0.0015025474,0.0018361434,-0.00079227984,-0.0010260604,0.14230338,-0.0047129095,-0.008145992
32,0,0,55,1,0,0,1,0,1,1,1,0.3807048,0,0.030571336,0.0065695737,0.00081405137,0.12545957,-0.18909568,0.008713701,-0.0046447925,-0.11876197,0.0065994924,-0.00059079565,0.007878161
35,0,0,40,1,1,0,0,0,0,0,1,0.6226905,1,0.052125383,0.0045616627,0.0070303828,0.09156628,-0.13356009,-0.007132631,-0.0019752122,-0.0060213245,-0.011846568,-0.00015581772,-0.0011229627
18,0,0,24,1,1,1,1,1,1,1,0,0.26895496,0,5.966388e-05,0.0036843517,4.943204e-05,-0.002744453,0.009063163,0.00024438894,0.01562724,0.007060513,0.009430714,0.0016547634,-0.005389328
29,0,0,25,1,0,0,0,0,1,0,0,0.5824018,1,-0.028064825,-0.00038506463,0.0025995225,-0.06529869,0.13436121,-0.0051862746,0.010845397,-0.00088907406,-0.005746212,0.003709156,0.0015440807
64,0,0,23,0,1,1,0,1,1,1,0,0.2721359,0,-0.032870617,-0.025813045,-0.0020256992,-0.045489643,-0.012636339,-0.0016941386,0.22927059,0.01284473,0.06663548,0.02125455,-0.00864136
59,99999,0,84,1,0,0,0,0,1,1,1,0.7310586,1,0.003942316,0.49261984,-0.009593837,0.07367235,-0.04641494,-0.009328209,0.04641115,0.036216274,-0.0111243725,-0.0329697,0.0014093146
40,0,0,40,1,1,1,1,1,0,1,0,0.26909462,0,-0.02201632,0.020344462,-0.007570219,-0.017681308,0.03534943,-0.0059525594,0.07149406,0.022754885,0.043530226,-0.003020408,-0.00076686474
28,0,0,40,1,1,0,1,0,1,1,1,0.34562865,0,0.015271024,0.01677664,0.0025136573,0.07852659,-0.1698146,0.007723368,-0.00198525,-0.12667507,-0.014299248,0.0032473328,0.019592054
41,0,0,40,1,1,0,0,0,1,1,0,0.44245765,0,-0.07226972,-0.00281889,0.013759922,-0.0889986,0.18400441,-0.011521002,0.0014319401,0.0026105773,-0.011947614,-0.012700543,-0.009315474
52,0,0,50,1,1,0,1,0,1,1,1,0.37467134,0,0.088817075,-0.008646327,0.0021373928,0.12623543,-0.164789,-0.0042992523,0.00901548,-0.14126319,-0.014198667,0.0073404936,0.012649625
31,0,0,40,1,1,0,0,0,1,0,1,0.44886363,0,0.044881497,-0.0043364074,0.007316729,0.093485795,-0.19486535,-0.0034820884,-0.0040440336,-0.004952453,0.0072935466,0.005003335,0.0049902257
41,0,0,40,1,1,0,1,0,1,1,1,0.36608046,0,0.059798554,7.154886e-05,0.012910997,0.0941176,-0.19083886,-0.0031415448,0.016820773,-0.13207829,-0.0008383244,-0.011218179,0.0076333256
25,0,0,40,1,0,1,1,1,1,1,0,0.26905096,0,-0.012896649,0.005219568,0.005209391,-0.035342257,0.027620792,-0.009375428,0.06296883,0.033703826,0.035652477,-0.010491602,-0.0074159508
33,0,0,32,0,1,0,0,1,1,1,1,0.60733044,1,0.039126813,0.005748581,-0.0034263507,0.07902706,0.007459607,-0.015391603,-0.0047234558,0.0011784844,-0.1499401,-0.0011210516,0.017214738
36,0,0,40,1,1,0,0,0,1,1,0,0.62945086,1,-0.0652404,-0.0027694814,0.005095046,-0.10008452,0.13322741,0.013026532,-0.000890594,-0.0055967383,0.010590289,0.010743555,-0.01789128
34,0,0,40,1,1,1,1,1,0,1,0,0.26907036,0,-0.031167725,0.0053804377,-0.00807065,-0.021026071,0.049687263,0.009102965,0.06743908,0.039860208,0.038323816,-0.002805133,-0.0017305329
41,0,2051,60,1,1,0,0,0,1,1,0,0.7293165,1,-0.032139163,0.010517795,-0.09269847,-0.06628534,0.055608265,0.010407474,-0.0024440698,0.00014320016,-0.0031576268,-0.002953142,-0.003275469
35,0,0,44,0,1,1,0,1,1,1,0,0.2750759,0,0.0036891752,0.006047862,0.018816425,-0.06209248,0.0073252046,0.00952936,0.26629782,-0.012990531,0.08178979,-0.028860928,0.0106792115
33,0,0,20,1,1,1,1,1,0,0,0,0.268946,0,-0.002492744,0.00067706814,0.00010665099,-0.002391858,0.0057835593,0.00082864624,0.0066032186,0.0042013484,0.0049493355,0.00014494249,0.0008854056
57,0,0,40,0,1,1,0,1,1,1,1,0.27325776,0,0.07570619,0.013103999,-0.02761618,0.048397865,0.0038545541,0.003722902,-0.24174683,-0.0019205664,-0.077940054,0.008442072,-0.0033328435
37,0,0,35,1,1,0,1,0,1,1,0,0.32230055,0,-0.058504887,-0.0062664957,0.018482286,-0.052201293,0.14602557,0.014932357,0.003150133,0.13340752,0.017164927,-0.020419478,-0.030154858
35,5721,0,40,0,0,1,0,1,1,1,0,0.315912,0,-0.03272746,-0.031310335,0.00963698,-0.05499859,-0.051903214,0.021120802,0.36226702,-0.00061229826,0.111286834,0.02563655,-0.009604789
27,0,0,50,1,0,1,1,1,0,0,0,0.26915184,0,-0.017116541,0.009175263,0.011462439,-0.026392674,0.03742179,-0.015101772,0.07987558,0.020083746,0.041736715,0.007060229,-0.0013008551
25,3103,0,40,1,1,0,1,0,0,1,0,0.3233642,0,0.0011431013,-0.040359944,-0.015153092,-0.07703824,0.1361373,-0.0059053767,0.008879882,0.10569436,0.006271081,-0.015611425,-0.004478897
31,0,0,40,1,1,1,1,1,1,1,0,0.2689895,0,-0.010612985,-0.0033259103,-0.004886326,-0.020937461,0.022728581,0.0019540298,0.037933428,0.02706157,0.021609837,0.0064761145,0.0038519325
36,0,0,40,1,1,1,1,1,1,1,0,0.268974,0,-0.008271538,0.0015116197,0.0034564028,-0.022265963,0.020046275,0.0017296863,0.03196858,0.016764125,0.02020518,-0.003953479,-0.004279476
48,0,0,25,0,1,1,1,1,1,0,0,0.26988626,0,-0.030378915,0.02713415,0.0011691838,0.004193255,-0.027743427,0.01191435,0.13934414,0.02784287,0.04090873,0.0022911145,-0.012419645
51,0,0,50,1,1,0,0,0,1,1,1,0.6764007,1,0.09005175,0.005833227,0.001576148,0.09793502,-0.107411064,0.0052410364,-0.0023113787,0.018368747,-0.0024515726,-0.011811722,0.008183975
24,0,0,40,1,1,1,1,1,0,1,0,0.26904362,0,-0.002937458,-0.009985588,0.005103523,-0.012445221,0.020309733,0.010130078,0.06785864,0.01948493,0.037596058,0.008215026,-0.019594526
58,99999,0,35,0,1,0,0,1,1,1,1,0.7310586,1,0.08722391,0.5883353,0.00033598393,0.011513468,-0.013873957,0.004034966,0.008916777,-0.024063066,-0.052227527,0.020276845,0.021849215
49,0,0,39,1,1,0,0,0,1,1,0,0.40693823,0,-0.083533674,-0.0030664932,0.0033624116,-0.097846694,0.1660277,0.028269837,0.017401379,-0.025723469,0.0062395586,-0.009393947,-0.017506782
27,0,0,80,1,1,0,1,0,1,1,0,0.4133956,0,-0.03508588,0.0030502528,0.0032116547,-0.20104147,0.17213146,0.017932614,0.009969508,0.14736469,-0.00071727484,-0.014436383,-0.0065083504
34,0,0,38,1,0,1,1,1,0,1,0,0.26896662,0,-0.0029380508,0.0004734723,-0.004284678,-0.008103161,0.011822636,0.0021224325,0.020172533,0.0071448544,0.00846825,0.0036209216,-0.0028336847
26,0,0,40,0,1,1,0,1,1,1,0,0.27989894,0,-0.005165931,-0.03249698,-0.004416515,-0.018336026,-0.025540782,0.03537527,0.37014267,0.0036670764,0.09969284,0.012528997,-0.006921357
41,0,0,40,0,1,1,0,1,0,1,0,0.27163628,0,-0.011603469,-0.011280622,0.0032427614,-0.029016068,-0.002158931,-0.023950456,0.16373858,0.0027777366,0.053640667,0.0055588526,-0.010973068
40,3325,0,40,1,1,1,1,1,1,1,0,0.26973078,0,-0.017186103,-0.03156243,-0.02295684,-0.034449067,0.06028503,0.021428393,0.1504992,0.061800312,0.06752716,0.002933816,-0.040894397
33,0,0,40,1,1,0,0,0,1,0,1,0.65462935,1,0.039823487,-0.0019705407,0.0018974617,0.08347063,-0.11528098,-0.0055908896,-0.006430052,1.4346093e-05,0.0017256662,-0.0049588196,0.009232655
40,99999,0,75,1,1,0,1,0,1,1,1,0.7310586,1,0.014535528,0.80040467,-0.0002233684,0.08291627,-0.08159506,-0.009105578,-0.008731388,-0.013921581,-0.021206267,-0.0060941726,0.03454811
36,7298,0,32,0,1,0,1,1,1,1,1,0.49263448,0,0.056248985,0.17560068,-0.0037690327,0.07237042,-0.00970993,-0.02321189,-0.0042697415,-0.12857817,-0.15421437,-0.017029913,0.021252843
59,0,1977,40,1,0,0,0,0,0,0,1,0.72803116,1,0.056382377,0.0018935576,0.10441993,0.038311582,-0.062677614,0.0031914227,-0.002408091,-0.010570746,-0.0014148839,-0.0014290586,0.003200788
46,0,1977,40,1,1,0,1,0,1,1,1,0.70837474,1,0.05354659,-0.0040070824,0.17767724,0.067943685,-0.09522086,0.00021164119,0.010502674,-0.09322184,0.0006864853,-0.0039615706,0.006637849
29,0,0,24,0,1,1,0,1,1,1,0,0.27088785,0,-0.00530037,0.009630258,0.011029689,-0.049945164,0.008244989,-0.00145368,0.21714637,-0.015486406,0.07502455,-0.0122184865,0.013417656
41,0,0,30,1,0,1,1,1,1,1,0,0.26907316,0,-0.02153861,-0.013756342,-0.0029228372,-0.012083032,0.040385645,0.005036572,0.07433142,0.031361803,0.043062426,0.00650451,-0.0067139794
23,0,0,40,1,1,1,1,1,1,1,0,0.2690495,0,-0.0010327605,0.0005236177,-0.0054733427,-0.017123392,0.030655885,0.0049957223,0.048570067,0.02264413,0.023538444,0.0042721014,0.00054700556
19,0,0,25,0,1,1,1,1,1,1,0,0.26940885,0,0.0011808831,0.010106878,-0.009049035,-0.027463315,-0.027483135,0.026710838,0.113117,0.017509548,0.05528497,0.024686318,0.0041963216
52,0,0,40,1,1,1,1,1,1,1,0,0.2691411,0,0.00093651394,-0.0007459632,0.0025631394,-0.033413615,0.026370335,0.008557284,0.06980886,0.019618876,0.03747576,0.02549616,0.0012149252
39,0,1977,24,0,1,0,0,1,1,1,1,0.7189938,1,0.04272476,0.0021994188,0.1345282,0.029466912,-0.005035311,-0.0043307394,-0.00046867505,-0.0057853945,-0.06927885,-0.007907819,0.011282589
